"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,190661,202853,211160,213298,230412,234742,245066,266750,287248,286782,296399,311605,334033,337008,347813,358858,362198,366421,369908,384011,347655,361884,350310,345649,346809,354814,342134,345498,365706,399732,409001,417097,422133,437169,452508,466129,501272,504020,507513,533204,544380,503420,498672,471950,503534,514313,526508,541391,537298,502530,519712,518757,511427,528033,521585,536733,537930,554504,553974,563361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,2523973,2558990,2656186,2719427,2849301,3026466,3185513,3315076,3450826,3634712,3696737,3722756,3929667,4019481,3956458,3860591,4019369,4099481,4199421,4049381,3768260,3547208,3394044,3472747,3502000,3434273,3416921,3472023,3702319,3619229,3612494,3678496,3650581,3753510,3773746,3886599,3970151,3944363,3856606,4024011,4029159,3905501,3920039,3945574,3993440,4140656,3991822,4081334,4083961,3859234,3996494,3978739,3854423,4018706,4098836,3933371,3936742,3900625,4026485,3958520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,1530437,1551091,1580987,1635028,1714801,1798393,1919366,1952042,2043409,2157093,2219775,2236217,2435885,2474472,2432022,2377767,2410240,2485596,2535537,2585762,2400197,2359274,2177454,2197757,2271002,2301292,2262531,2380691,2484357,2517053,2488999,2471077,2459877,2569179,2555521,2621213,2702821,2683207,2672890,2783212,2867279,2770456,2856081,2937199,2930253,2924177,2859709,2958525,2917143,2712923,2853078,2824247,2741595,2871204,2910850,2826459,2776746,2673583,2804834,2777494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,631316,618147,639460,641033,657075,723629,763521,722888,793842,839336,874267,908254,961171,966322,959652,924911,972467,981082,1037084,1132093,1022129,947309,944960,917190,1016638,1011726,974201,1015692,1069693,1042967,1074411,1070458,1057384,1085841,1111842,1078398,1109687,1101174,1088848,1108311,1116109,1063914,1099484,1140145,1121296,1067023,1095718,1157469,1119535,1088231,1106999,1095177,1065088,1093301,1130157,1098318,1089488,1072725,1133167,1123158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,823236,818917,836442,888319,890219,899590,905831,953994,1014155,1073330,1104720,1117666,1203074,1236974,1228332,1278425,1400423,1414018,1400112,1432637,1367982,1297313,1262083,1276623,1375310,1329732,1304571,1341279,1419083,1509038,1489868,1515784,1582211,1618620,1671777,1741938,1761014,1767765,1725018,1815367,1802618,1832560,1989605,1923756,1998031,2018197,2009346,2044160,2008086,1930522,2006852,1937809,1903707,1844625,1783589,1734381,1707881,1666542,1749373,1723046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,1502163,1564830,1580187,1747248,1866221,1832996,1973892,2236542,2422111,2701453,2836864,2897554,3083286,3317510,3408243,3107626,3535790,3936486,4095231,4044689,3908929,3961906,3637354,3431465,3575817,3340207,3500802,3564236,3601826,3759315,3704139,3708377,3817827,3883991,4020890,4064879,4240432,4328538,4047864,4026488,4330579,3823437,3958145,3809616,4011693,3854682,4026180,4286897,4228087,4035500,4119147,4132145,4001492,3914901,3935179,3906579,4026806,4204237,4242464,4294532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,1054127,1079950,1111915,1083270,1119625,1245258,1247984,1326492,1373613,1402415,1464384,1493798,1546466,1581551,1475055,1420313,1499176,1486580,1471615,1308451,1246693,1215717,1234902,1231961,1292240,1313664,1383264,1404906,1427362,1459706,1418231,1376472,1443841,1445182,1451557,1436968,1463140,1456922,1428047,1450436,1535714,1516968,1533530,1499087,1498063,1503542,1432786,1458176,1435835,1375637,1434452,1412179,1377238,1445156,1456044,1471553,1430044,1435225,1473403,1467898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,697260,699934,748394,775284,823757,859906,900300,915531,968996,1023972,1067972,1104522,1122760,1214593,1123057,1069386,1148110,1129827,1154687,1219177,1156510,1140938,1102129,1120386,1192374,1160048,1182435,1249115,1288359,1320439,1277680,1274478,1264902,1315345,1323800,1341801,1380811,1386411,1384577,1425265,1459886,1451217,1539539,1590449,1570234,1596813,1482301,1505960,1466520,1455444,1483129,1429512,1388230,1411332,1423010,1421189,1383579,1344018,1389336,1352642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,232332,244897,237907,241423,242725,232176,244258,256811,271194,288283,302380,353571,380418,378940,354413,324651,380599,396866,384636,363580,381550,380501,426436,391587,418276,423461,444354,433183,484767,478996,430659,435294,449327,452399,461886,431302,458152,443177,418462,430397,463343,426028,430762,430431,443142,447801,427755,450333,455348,413101,416076,416165,399681,412187,413206,423064,391030,383934,387529,383725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,1851644,1876674,1985156,2072621,2140394,2278302,2430278,2490875,2627315,2734264,2702538,2798196,2970324,3060405,2916310,2865742,2983999,2873174,2942354,2923445,2824417,2673062,2525049,2521430,2597220,2634458,2651892,2639558,2812015,2845535,2866603,2800618,2850077,2847744,2871299,3000186,3105729,3106640,3058629,3227372,3225008,3104288,3161372,3202233,3164951,3215169,3046605,3022749,2915379,2690321,2784241,2822326,2718554,2868866,2913600,2830749,2809836,2801626,2914235,2882342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,723031,728237,766680,775637,816048,865284,922187,929413,991475,1081915,1107892,1148516,1209799,1257708,1237566,1246041,1293627,1257346,1350594,1350455,1224226,1176563,1187287,1190390,1251746,1258254,1245900,1251390,1355217,1392696,1409665,1434833,1442310,1486122,1522324,1612469,1685217,1653900,1624327,1700105,1749107,1720944,1785661,1863727,1863445,1871803,1843501,1896785,1913253,1786176,1860041,1853104,1815512,1888740,1942341,1816000,1840793,1863854,1940743,1900223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,899857,898673,939806,954239,989314,1043038,1102147,1132505,1211237,1265602,1309269,1326842,1383498,1418725,1399043,1412553,1471585,1505717,1556126,1530220,1422627,1364588,1361929,1364968,1382791,1405803,1407765,1430886,1500220,1511766,1506669,1540305,1532026,1645347,1658124,1717666,1804740,1802761,1849558,1890358,1831457,1864062,1878573,1883450,1894079,1982290,1967681,1985695,1948878,1845179,1926538,1868319,1788656,1851262,1911606,1830761,1781020,1741452,1860252,1804258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,404939,411387,438300,473278,513324,511644,566410,579960,645521,684793,746912,786107,830744,847974,817314,771990,778923,819170,849268,877571,833876,817881,814290,819939,858698,837167,846367,868802,917601,959292,1019810,1042158,1067309,1076443,1093733,1120526,1148611,1148411,1141236,1238413,1245835,1132667,1174307,1206235,1209335,1175656,1211461,1225189,1166061,1111703,1149135,1124621,1108609,1086745,1098099,1081172,1067915,1064632,1102466,1086332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,227460,241691,248275,252510,263813,258824,275598,260368,280467,314298,322784,333934,342383,347660,351944,345409,365130,361105,383374,397177,360216,337187,316999,323449,359490,370198,352552,329241,341806,351807,350590,355349,349443,367830,371882,391902,397805,367605,391347,395931,410631,357848,381613,379721,401702,422087,441656,469914,456670,427247,404984,404197,397117,406459,405599,403707,406787,423278,436659,446174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,826470,858960,902745,930073,967053,1000435,1089558,1137963,1211104,1281029,1342676,1403918,1480269,1551096,1501847,1458782,1558503,1633866,1665364,1730521,1667382,1629516,1592073,1668995,1800225,1797051,1879993,1966269,2044646,2064537,2064098,2053070,2146014,2234705,2242614,2361657,2449409,2428449,2474626,2494294,2612315,2551460,2575450,2594352,2668617,2702237,2650024,2686309,2698574,2557016,2750544,2624425,2533963,2553147,2597588,2591178,2615664,2570568,2680610,2652806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,159415,154763,164872,170619,172006,169405,180786,185106,191968,192560,191117,195302,203742,202197,204358,206515,210442,210359,230012,237989,222373,236161,234682,230477,259557,300438,303900,302940,306556,319110,312939,322894,329126,332142,342000,350175,353238,359732,347752,375585,381565,407370,401218,400838,404459,409142,416023,437978,444397,435055,471447,522735,547332,589103,638943,605407,581309,631417,659879,667931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,307836,314944,327421,334977,347076,348616,389146,385223,422750,455912,487481,496173,509525,522129,518540,525658,554831,556876,556658,545126,507068,477613,492029,502801,506451,499912,482525,495732,535116,533925,533802,542836,531594,560302,585367,613636,644490,658015,674687,664584,667989,664390,675942,685709,697628,704826,721474,757842,796063,778869,864840,860618,849979,869060,874345,853197,865222,867770,902782,900586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,112158,119931,128225,133691,133091,131247,144764,149526,159459,176217,186601,201058,212305,216617,206500,201882,226976,230352,233236,210760,208260,200294,201336,204533,224289,233475,252309,273261,273541,272775,267260,253893,261635,261384,264573,267526,279664,279217,282000,292260,309761,306523,316339,325619,332093,326092,307906,309086,301470,297987,298376,296253,287475,305894,313889,316118,306904,317571,325414,319803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,1301938,1361749,1460847,1501224,1538414,1569751,1667786,1768292,1841016,1896202,1977939,1970817,2079998,2122047,1981582,1883779,2070578,2005608,2020375,2032650,2042226,2026137,2064991,2087571,2184942,2137379,2200878,2276016,2293960,2354787,2262859,2290891,2372206,2381585,2491674,2487294,2488069,2502225,2459982,2574684,2483350,2458361,2491243,2520182,2564633,2659566,2541933,2666626,2594260,2372781,2293141,2280288,2176363,2221466,2234475,2186578,2142131,2091516,2196920,2100601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,328439,340085,376092,370467,365774,353197,375974,407731,436306,429135,458694,469511,501736,477784,476488,459396,508860,473306,475173,480612,480615,472741,465226,472744,474648,466444,454881,485504,510363,535009,597445,590778,587579,602796,590989,582688,605377,644523,636391,640158,662696,661741,659860,661104,685076,685556,692403,715812,677716,644532,650794,668957,666339,669707,679084,678029,671325,682298,700836,735591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,90994,104789,112985,123243,133731,130174,144957,150718,163400,176999,190122,201661,217655,233459,233766,238093,250239,256716,282200,296498,291313,286208,290160,300667,300567,302688,303314,330578,353306,389011,410370,421560,436191,460325,499559,514831,560931,565909,583779,606178,625647,632924,626631,652215,685415,704990,744557,733140,697172,651354,692728,683912,680934,700886,701721,690778,720894,751047,771292,773979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,2989032,3093838,3238540,3305923,3382126,3664673,3867170,3955831,4052442,4200652,4303439,4251263,4269847,4419080,4128073,3925249,4224994,4195220,4195842,3972800,3863274,3673745,3529658,3353921,3403950,3508528,3554662,3658508,3748830,3771097,3768938,3703136,3788665,3813731,3752701,3791092,3940340,4013224,3939103,4061178,4138666,4021811,4031388,4163545,4261834,4153199,3873247,3958020,3874874,3698703,3894831,3777159,3603676,3741854,3863760,3860779,3790288,3797280,3965002,3855941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,2994711,2898735,3036395,3113988,3215365,3369016,3539868,3543981,3710053,3856077,3932645,3871518,4125705,4218370,4198106,3979902,4208900,4198403,4275771,4261990,3950811,3848330,3507765,3444507,3646301,3622387,3591701,3708183,3844211,3953736,3822978,3821363,3864860,3917038,4026924,4109185,4196129,4180825,4080012,4245853,4273427,4010965,3954608,4020593,4054623,4081428,3921590,4049462,3999755,3666515,3788958,3755314,3614723,3685297,3793565,3708809,3668710,3616754,3762765,3634494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,580906,582692,692041,768636,802725,774367,744879,763519,843549,886447,939226,965680,1019204,1024152,1064042,1070091,1162766,1224894,1266603,1322376,1213993,1248960,1318075,1316946,1322507,1297798,1203182,1256837,1291311,1325070,1393309,1321377,1337475,1396903,1402103,1376001,1438055,1444227,1449160,1432209,1486799,1508230,1458526,1488461,1477461,1527097,1566694,1572521,1582452,1492392,1569956,1568068,1553220,1607154,1672131,1614426,1616178,1638461,1707289,1675635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,470579,485140,509385,527201,578504,591834,630433,646405,691620,733064,752924,796879,837435,854962,837588,867638,885915,885093,951139,977131,945029,939039,905941,868020,936508,913873,895457,940455,991005,999506,993039,1026228,1019290,1038599,1053488,1059502,1103336,1114829,1125373,1150420,1135473,1043441,1038743,1017177,1012895,1043014,1077541,1062795,1047192,1012804,982586,1007579,978338,997524,994091,972180,988552,1041787,1022289,1028091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,3253214,3146037,3255423,3391013,3588928,3731977,3831882,3816103,3959290,3982119,4106916,4044955,4187795,4294356,4124018,3913887,4164173,4127190,4128436,4249658,3996299,3809830,3363346,3377212,3604664,3434064,3378296,3551982,3713946,3738812,3647112,3584645,3684806,3755566,3829642,3888467,3923633,3889569,3730912,3770848,3942074,3849655,3911083,3961080,4008376,4035405,3908856,3963066,3942348,3625630,3760200,3754524,3646995,3860962,3989359,3903406,3767761,3772021,3938509,3815486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,187082,172905,180862,180600,178156,173485,175290,193450,197936,210703,222536,235513,236763,231946,215591,206221,215504,223147,212617,201339,185615,175209,174887,180973,192232,204275,206204,215862,223279,216864,214939,220203,246532,202715,241346,230325,220140,217889,226678,226813,205766,204161,203880,219115,216892,210046,200880,198330,194320,194851,195572,185660,183503,196930,203922,202747,185262,182373,195590,190281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,489216,507093,540137,561023,560524,554319,593446,603092,654373,699204,745729,779638,834960,886118,858642,840874,964613,1000303,994484,984487,997901,1002177,973134,1006503,1069330,1076310,1142219,1178512,1235317,1243836,1269960,1294733,1311056,1368980,1369400,1426887,1465968,1514026,1561047,1567482,1614128,1563023,1601989,1607730,1712248,1684154,1693408,1670947,1637705,1573712,1654573,1612057,1565564,1596802,1637758,1655921,1650101,1639905,1667954,1628499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,128835,131556,136645,140408,143784,140065,146362,145670,153321,159805,168792,170183,179190,176823,172589,181948,195374,196832,205651,204965,190687,178760,191238,185488,188704,194819,195032,195204,205416,214315,220217,216736,219688,233039,240112,243598,256639,245398,243915,248864,263270,255811,275235,279620,288818,306348,311156,330884,353531,363091,375369,376513,373499,388780,390085,386363,384537,390600,403020,401702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,962617,978121,1015575,1062187,1088445,1137343,1231562,1236057,1284591,1340773,1365610,1371116,1473992,1614086,1578503,1614225,1720063,1779374,1762976,1800371,1724916,1693019,1611851,1660254,1737534,1711499,1700016,1712673,1777007,1829468,1804944,1803881,1849079,1882954,1933445,1951894,2059423,2036478,2118307,2163553,2197309,2209605,2235042,2252846,2282706,2341365,2332636,2345222,2283921,2087484,2256820,2201541,2086273,2141266,2209079,2184369,2211934,2150054,2237640,2170424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,4416216,4447880,4640675,4894089,5012683,5212184,5557255,5879030,6268911,6656323,6921781,7233774,7623194,8241366,8093721,7511439,7835920,8475779,8941144,9307928,9385532,9147369,8471165,8406461,8946242,9011817,9007599,9240071,9811771,10093725,10091766,10094638,10253144,10350894,10663278,10811073,11579043,11984538,12161299,11788094,12141592,11942555,12241015,12028704,12074332,11539444,11677436,11779339,11263778,10884447,11613222,11833262,11864601,12635929,12635568,12766646,12994812,13180174,14017426,14227415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,303229,300811,310319,311815,334525,339504,350834,345267,365623,395838,397019,415199,428177,457776,473666,480756,510233,486089,510695,526397,504574,478203,467638,491810,504008,500434,470786,462389,526305,537620,538104,568042,554346,579508,589907,640342,670541,684793,707959,699762,744480,713979,693795,704447,735427,762159,779275,781023,768036,742250,753481,790651,786427,822442,794953,798820,808333,828158,845147,854638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,851297,854600,883702,939691,969280,1046094,1116959,1137190,1197529,1237230,1279028,1322363,1375395,1435070,1382349,1358994,1443835,1486224,1515163,1568370,1530854,1514259,1501050,1559137,1636831,1670500,1756943,1847217,1921950,1965088,1969215,1975083,2000648,2075789,2099517,2167244,2221828,2219906,2245041,2308982,2405827,2337547,2370458,2442514,2567450,2642157,2581074,2643190,2544221,2429455,2524756,2421275,2357496,2423875,2465790,2418404,2378417,2360871,2461091,2419077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,68554,71941,74781,74605,72070,83090,90907,94557,100490,106584,113222,116968,123917,126434,116837,114356,131790,129325,134455,131782,125793,120672,115117,123272,132836,134538,128263,137510,144630,142529,127389,133727,139627,137459,136875,134056,141121,145799,137295,135030,148507,148858,149732,152335,162653,161183,157716,154815,146384,156687,155576,151413,129223,137147,140039,140301,134889,133993,138563,136864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,807277,823383,860062,900608,961435,996454,1058961,1112762,1210234,1296162,1294145,1320979,1462402,1498556,1494231,1458166,1506955,1524554,1616207,1667783,1636821,1762292,1667861,1624957,1724697,1724684,1758552,1810437,1947741,2013008,2078810,2072434,2105928,2105459,2094429,2141400,2117820,2149761,2229278,2316863,2248092,2029311,1876320,1880774,1943207,1977992,2084284,2049914,2041958,2031912,2004183,2048341,2008228,2032101,2006565,1994002,2054215,2072728,2051060,2076024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,854308,877011,917963,940067,974857,1030533,1091996,1137123,1184174,1248392,1289050,1293197,1287690,1354483,1341660,1341892,1372938,1437713,1501615,1468965,1463981,1421298,1404352,1419852,1487633,1501131,1425549,1404088,1510126,1516590,1485607,1527216,1524772,1587871,1633387,1698061,1764572,1771900,1751166,1846061,1878161,1853341,1894796,1868851,1892938,1959179,1867717,1902606,1895116,1764012,1810211,1797683,1737952,1833064,1889229,1814011,1800265,1817097,1895417,1846661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,617977,648667,656276,689629,729022,753923,771519,739838,807461,796648,795739,779534,828980,845774,841728,790364,826694,819746,807745,823762,788175,769650,713139,681588,717840,665396,668346,681320,726601,748561,701782,671304,684688,707438,734061,736423,709036,707259,734561,717413,736985,730823,755537,711812,734849,737053,760310,789826,776230,706207,751123,737915,730491,750915,780675,768163,761782,752340,830786,827056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,141355,154474,173407,163153,163391,172698,180286,205150,225588,250536,255480,268453,286868,283507,278885,277367,300313,325289,354800,378316,362253,352782,363372,329172,351234,357215,335938,363821,370702,382037,399316,388124,421423,406877,407936,403151,415040,414704,420795,425120,427791,438258,438549,461215,450647,456839,478077,523640,538379,524122,540857,557587,550865,539824,536078,506948,504910,534838,557583,540819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
