United States Power Source,Energy Production (Thousand Megawatthours)
Other Renewables,16364.0
Wind,11668.0
All Utility-Scale Solar,917.0
Utility-Scale Photovoltaic,842.0
Utility-Scale Thermal,75.0
Geothermal,1299.0
Biomass,2480.0
Hydro-Electric Pumped Storage,-439.0
Other,610.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,917.0
Utility-Scale Photovoltaic,842.0
Utility-Scale Thermal,75.0
All Fuels (Utility-Scale),301782.0
Coal,119943.0
Petroleum Liquids,901.0
Petroleum Coke,908.0
Natural Gas,80872.0
Other Gases,405.0
Nuclear,63184.0
Conventional Hydroelectric,16958.0
Other Renewables,18377.0
Wind,13627.0
All Utility-Scale Solar,954.0
Utility-Scale Photovoltaic,842.0
Utility-Scale Thermal,112.0
Geothermal,1363.0
Biomass,2433.0
Hydro-Electric Pumped Storage,-373.0
Other,608.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,954.0
Utility-Scale Photovoltaic,842.0
Utility-Scale Thermal,112.0
All Fuels (Utility-Scale),301287.0
Coal,119858.0
Petroleum Liquids,944.0
Petroleum Coke,752.0
Natural Gas,76367.0
Other Gases,367.0
Nuclear,64975.0
Conventional Hydroelectric,17469.0
Other Renewables,20360.0
Wind,15790.0
All Utility-Scale Solar,799.0
Utility-Scale Photovoltaic,749.0
Utility-Scale Thermal,49.0
Geothermal,1230.0
Biomass,2541.0
Hydro-Electric Pumped Storage,-413.0
Other,610.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,799.0
Utility-Scale Photovoltaic,749.0
Utility-Scale Thermal,49.0
All Fuels (Utility-Scale),338748.0
Coal,140703.0
Petroleum Liquids,1375.0
Petroleum Coke,894.0
Natural Gas,84289.0
Other Gases,356.0
Nuclear,71294.0
Conventional Hydroelectric,20803.0
Other Renewables,18826.0
Wind,13955.0
All Utility-Scale Solar,826.0
Utility-Scale Photovoltaic,780.0
Utility-Scale Thermal,46.0
Geothermal,1366.0
Biomass,2680.0
Hydro-Electric Pumped Storage,-421.0
Other,629.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,826.0
Utility-Scale Photovoltaic,780.0
Utility-Scale Thermal,46.0
All Fuels (Utility-Scale),363645.0
Coal,155916.0
Petroleum Liquids,5726.0
Petroleum Coke,1058.0
Natural Gas,82969.0
Other Gases,266.0
Nuclear,73163.0
Conventional Hydroelectric,21510.0
Other Renewables,22747.0
Wind,17895.0
All Utility-Scale Solar,734.0
Utility-Scale Photovoltaic,680.0
Utility-Scale Thermal,54.0
Geothermal,1355.0
Biomass,2763.0
Hydro-Electric Pumped Storage,-290.0
Other,580.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,734.0
Utility-Scale Photovoltaic,680.0
Utility-Scale Thermal,54.0
All Fuels (Utility-Scale),312276.0
Coal,142218.0
Petroleum Liquids,1749.0
Petroleum Coke,829.0
Natural Gas,68730.0
Other Gases,211.0
Nuclear,62639.0
Conventional Hydroelectric,17289.0
Other Renewables,18551.0
Wind,13997.0
All Utility-Scale Solar,814.0
Utility-Scale Photovoltaic,731.0
Utility-Scale Thermal,83.0
Geothermal,1206.0
Biomass,2535.0
Hydro-Electric Pumped Storage,-445.0
Other,506.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,814.0
Utility-Scale Photovoltaic,731.0
Utility-Scale Thermal,83.0
All Fuels (Utility-Scale),318914.0
Coal,135290.0
Petroleum Liquids,1917.0
Petroleum Coke,1082.0
Natural Gas,70517.0
Other Gases,215.0
Nuclear,62397.0
Conventional Hydroelectric,24139.0
Other Renewables,23151.0
Wind,17722.0
All Utility-Scale Solar,1286.0
Utility-Scale Photovoltaic,1104.0
Utility-Scale Thermal,182.0
Geothermal,1338.0
Biomass,2805.0
Hydro-Electric Pumped Storage,-421.0
Other,627.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1286.0
Utility-Scale Photovoltaic,1104.0
Utility-Scale Thermal,182.0
All Fuels (Utility-Scale),285453.0
Coal,108279.0
Petroleum Liquids,870.0
Petroleum Coke,713.0
Natural Gas,69583.0
Other Gases,231.0
Nuclear,56385.0
Conventional Hydroelectric,25310.0
Other Renewables,23893.0
Wind,18621.0
All Utility-Scale Solar,1453.0
Utility-Scale Photovoltaic,1227.0
Utility-Scale Thermal,226.0
Geothermal,1314.0
Biomass,2506.0
Hydro-Electric Pumped Storage,-378.0
Other,568.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1453.0
Utility-Scale Photovoltaic,1227.0
Utility-Scale Thermal,226.0
All Fuels (Utility-Scale),312072.0
Coal,117738.0
Petroleum Liquids,912.0
Petroleum Coke,958.0
Natural Gas,81645.0
Other Gases,283.0
Nuclear,62947.0
Conventional Hydroelectric,26410.0
Other Renewables,21160.0
Wind,15591.0
All Utility-Scale Solar,1710.0
Utility-Scale Photovoltaic,1418.0
Utility-Scale Thermal,292.0
Geothermal,1332.0
Biomass,2527.0
Hydro-Electric Pumped Storage,-601.0
Other,619.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1710.0
Utility-Scale Photovoltaic,1418.0
Utility-Scale Thermal,292.0
All Fuels (Utility-Scale),344988.0
Coal,136470.0
Petroleum Liquids,843.0
Petroleum Coke,1002.0
Natural Gas,90902.0
Other Gases,257.0
Nuclear,68138.0
Conventional Hydroelectric,25640.0
Other Renewables,21770.0
Wind,15786.0
All Utility-Scale Solar,1883.0
Utility-Scale Photovoltaic,1537.0
Utility-Scale Thermal,345.0
Geothermal,1293.0
Biomass,2808.0
Hydro-Electric Pumped Storage,-653.0
Other,618.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1883.0
Utility-Scale Photovoltaic,1537.0
Utility-Scale Thermal,345.0
All Fuels (Utility-Scale),371817.0
Coal,148472.0
Petroleum Liquids,947.0
Petroleum Coke,921.0
Natural Gas,106696.0
Other Gases,283.0
Nuclear,71940.0
Conventional Hydroelectric,24265.0
Other Renewables,18193.0
Wind,12176.0
All Utility-Scale Solar,1748.0
Utility-Scale Photovoltaic,1486.0
Utility-Scale Thermal,262.0
Geothermal,1320.0
Biomass,2948.0
Hydro-Electric Pumped Storage,-545.0
Other,646.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1748.0
Utility-Scale Photovoltaic,1486.0
Utility-Scale Thermal,262.0
All Fuels (Utility-Scale),370304.0
Coal,147329.0
Petroleum Liquids,972.0
Petroleum Coke,901.0
Natural Gas,113910.0
Other Gases,315.0
Nuclear,71129.0
Conventional Hydroelectric,19708.0
Other Renewables,16227.0
Wind,10162.0
All Utility-Scale Solar,1839.0
Utility-Scale Photovoltaic,1577.0
Utility-Scale Thermal,261.0
Geothermal,1329.0
Biomass,2897.0
Hydro-Electric Pumped Storage,-840.0
Other,653.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1839.0
Utility-Scale Photovoltaic,1577.0
Utility-Scale Thermal,261.0
All Fuels (Utility-Scale),326756.0
Coal,125062.0
Petroleum Liquids,882.0
Petroleum Coke,895.0
Natural Gas,98690.0
Other Gases,298.0
Nuclear,67535.0
Conventional Hydroelectric,15986.0
Other Renewables,17339.0
Wind,11510.0
All Utility-Scale Solar,1795.0
Utility-Scale Photovoltaic,1537.0
Utility-Scale Thermal,258.0
Geothermal,1308.0
Biomass,2726.0
Hydro-Electric Pumped Storage,-542.0
Other,611.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1795.0
Utility-Scale Photovoltaic,1537.0
Utility-Scale Thermal,258.0
All Fuels (Utility-Scale),301847.0
Coal,110322.0
Petroleum Liquids,861.0
Petroleum Coke,507.0
Natural Gas,90053.0
Other Gases,334.0
Nuclear,62391.0
Conventional Hydroelectric,17063.0
Other Renewables,20148.0
Wind,14492.0
All Utility-Scale Solar,1680.0
Utility-Scale Photovoltaic,1447.0
Utility-Scale Thermal,233.0
Geothermal,1345.0
Biomass,2631.0
Hydro-Electric Pumped Storage,-448.0
Other,614.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1680.0
Utility-Scale Photovoltaic,1447.0
Utility-Scale Thermal,233.0
All Fuels (Utility-Scale),304738.0
Coal,118118.0
Petroleum Liquids,911.0
Petroleum Coke,666.0
Natural Gas,76711.0
Other Gases,302.0
Nuclear,65140.0
Conventional Hydroelectric,18524.0
Other Renewables,24264.0
Wind,18848.0
All Utility-Scale Solar,1351.0
Utility-Scale Photovoltaic,1203.0
Utility-Scale Thermal,148.0
Geothermal,1362.0
Biomass,2704.0
Hydro-Electric Pumped Storage,-531.0
Other,634.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1351.0
Utility-Scale Photovoltaic,1203.0
Utility-Scale Thermal,148.0
All Fuels (Utility-Scale),324193.0
Coal,123561.0
Petroleum Liquids,895.0
Petroleum Coke,1026.0
Natural Gas,82766.0
Other Gases,363.0
Nuclear,73363.0
Conventional Hydroelectric,22202.0
Other Renewables,19861.0
Wind,14696.0
All Utility-Scale Solar,1011.0
Utility-Scale Photovoltaic,915.0
Utility-Scale Thermal,95.0
Geothermal,1375.0
Biomass,2779.0
Hydro-Electric Pumped Storage,-480.0
Other,636.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1011.0
Utility-Scale Photovoltaic,915.0
Utility-Scale Thermal,95.0
All Fuels (Utility-Scale),346758.0
Coal,131431.0
Petroleum Liquids,1848.0
Petroleum Coke,941.0
Natural Gas,93450.0
Other Gases,394.0
Nuclear,74270.0
Conventional Hydroelectric,24014.0
Other Renewables,20360.0
Wind,15146.0
All Utility-Scale Solar,1134.0
Utility-Scale Photovoltaic,1071.0
Utility-Scale Thermal,63.0
Geothermal,1362.0
Biomass,2718.0
Hydro-Electric Pumped Storage,-551.0
Other,601.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1134.0
Utility-Scale Photovoltaic,1071.0
Utility-Scale Thermal,63.0
All Fuels (Utility-Scale),322473.0
Coal,126024.0
Petroleum Liquids,5063.0
Petroleum Coke,1011.0
Natural Gas,84207.0
Other Gases,329.0
Nuclear,63461.0
Conventional Hydroelectric,22179.0
Other Renewables,20122.0
Wind,14908.0
All Utility-Scale Solar,1459.0
Utility-Scale Photovoltaic,1298.0
Utility-Scale Thermal,161.0
Geothermal,1260.0
Biomass,2495.0
Hydro-Electric Pumped Storage,-456.0
Other,534.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1459.0
Utility-Scale Photovoltaic,1298.0
Utility-Scale Thermal,161.0
All Fuels (Utility-Scale),311741.0
Coal,107471.0
Petroleum Liquids,1002.0
Petroleum Coke,642.0
Natural Gas,92110.0
Other Gases,327.0
Nuclear,64547.0
Conventional Hydroelectric,24148.0
Other Renewables,21345.0
Wind,15293.0
All Utility-Scale Solar,2037.0
Utility-Scale Photovoltaic,1752.0
Utility-Scale Thermal,286.0
Geothermal,1394.0
Biomass,2620.0
Hydro-Electric Pumped Storage,-409.0
Other,558.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,2037.0
Utility-Scale Photovoltaic,1752.0
Utility-Scale Thermal,286.0
All Fuels (Utility-Scale),282197.0
Coal,88147.0
Petroleum Liquids,865.0
Petroleum Coke,705.0
Natural Gas,85828.0
Other Gases,290.0
Nuclear,59784.0
Conventional Hydroelectric,22331.0
Other Renewables,23887.0
Wind,17850.0
All Utility-Scale Solar,2338.0
Utility-Scale Photovoltaic,1966.0
Utility-Scale Thermal,372.0
Geothermal,1272.0
Biomass,2426.0
Hydro-Electric Pumped Storage,-214.0
Other,575.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,2338.0
Utility-Scale Photovoltaic,1966.0
Utility-Scale Thermal,372.0
All Fuels (Utility-Scale),309552.0
Coal,103672.0
Petroleum Liquids,959.0
Petroleum Coke,835.0
Natural Gas,94124.0
Other Gases,338.0
Nuclear,65827.0
Conventional Hydroelectric,19995.0
Other Renewables,23558.0
Wind,17136.0
All Utility-Scale Solar,2456.0
Utility-Scale Photovoltaic,2111.0
Utility-Scale Thermal,345.0
Geothermal,1390.0
Biomass,2575.0
Hydro-Electric Pumped Storage,-370.0
Other,615.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,2456.0
Utility-Scale Photovoltaic,2111.0
Utility-Scale Thermal,345.0
All Fuels (Utility-Scale),349067.0
Coal,124677.0
Petroleum Liquids,981.0
Petroleum Coke,742.0
Natural Gas,113390.0
Other Gases,299.0
Nuclear,68516.0
Conventional Hydroelectric,20297.0
Other Renewables,19940.0
Wind,13410.0
All Utility-Scale Solar,2512.0
Utility-Scale Photovoltaic,2132.0
Utility-Scale Thermal,380.0
Geothermal,1302.0
Biomass,2717.0
Hydro-Electric Pumped Storage,-398.0
Other,624.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,2512.0
Utility-Scale Photovoltaic,2132.0
Utility-Scale Thermal,380.0
All Fuels (Utility-Scale),385889.0
Coal,138060.0
Petroleum Liquids,1148.0
Petroleum Coke,1037.0
Natural Gas,132266.0
Other Gases,311.0
Nuclear,71412.0
Conventional Hydroelectric,20896.0
Other Renewables,20606.0
Wind,13666.0
All Utility-Scale Solar,2579.0
Utility-Scale Photovoltaic,2200.0
Utility-Scale Thermal,380.0
Geothermal,1357.0
Biomass,3004.0
Hydro-Electric Pumped Storage,-513.0
Other,667.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,2579.0
Utility-Scale Photovoltaic,2200.0
Utility-Scale Thermal,380.0
All Fuels (Utility-Scale),377856.0
Coal,133651.0
Petroleum Liquids,1044.0
Petroleum Coke,969.0
Natural Gas,130314.0
Other Gases,331.0
Nuclear,72415.0
Conventional Hydroelectric,19030.0
Other Renewables,20050.0
Wind,13070.0
All Utility-Scale Solar,2639.0
Utility-Scale Photovoltaic,2247.0
Utility-Scale Thermal,392.0
Geothermal,1344.0
Biomass,2996.0
Hydro-Electric Pumped Storage,-626.0
Other,677.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,2639.0
Utility-Scale Photovoltaic,2247.0
Utility-Scale Thermal,392.0
All Fuels (Utility-Scale),336618.0
Coal,117005.0
Petroleum Liquids,962.0
Petroleum Coke,936.0
Natural Gas,114792.0
Other Gases,331.0
Nuclear,66476.0
Conventional Hydroelectric,16015.0
Other Renewables,20023.0
Wind,13961.0
All Utility-Scale Solar,2178.0
Utility-Scale Photovoltaic,1869.0
Utility-Scale Thermal,309.0
Geothermal,1203.0
Biomass,2682.0
Hydro-Electric Pumped Storage,-544.0
Other,620.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,2178.0
Utility-Scale Photovoltaic,1869.0
Utility-Scale Thermal,309.0
All Fuels (Utility-Scale),299168.0
Coal,95872.0
Petroleum Liquids,898.0
Petroleum Coke,759.0
Natural Gas,102022.0
Other Gases,229.0
Nuclear,60571.0
Conventional Hydroelectric,16513.0
Other Renewables,22118.0
Wind,16364.0
All Utility-Scale Solar,1875.0
Utility-Scale Photovoltaic,1665.0
Utility-Scale Thermal,210.0
Geothermal,1323.0
Biomass,2556.0
Hydro-Electric Pumped Storage,-443.0
Other,631.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1875.0
Utility-Scale Photovoltaic,1665.0
Utility-Scale Thermal,210.0
All Fuels (Utility-Scale),287551.0
Coal,86362.0
Petroleum Liquids,953.0
Petroleum Coke,629.0
Natural Gas,94132.0
Other Gases,234.0
Nuclear,60264.0
Conventional Hydroelectric,19202.0
Other Renewables,25420.0
Wind,19663.0
All Utility-Scale Solar,1702.0
Utility-Scale Photovoltaic,1497.0
Utility-Scale Thermal,204.0
Geothermal,1334.0
Biomass,2722.0
Hydro-Electric Pumped Storage,-285.0
Other,639.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1702.0
Utility-Scale Photovoltaic,1497.0
Utility-Scale Thermal,204.0
All Fuels (Utility-Scale),310423.0
Coal,88622.0
Petroleum Liquids,903.0
Petroleum Coke,671.0
Natural Gas,101022.0
Other Gases,304.0
Nuclear,69634.0
Conventional Hydroelectric,23017.0
Other Renewables,25876.0
Wind,20080.0
All Utility-Scale Solar,1545.0
Utility-Scale Photovoltaic,1420.0
Utility-Scale Thermal,126.0
Geothermal,1377.0
Biomass,2874.0
Hydro-Electric Pumped Storage,-281.0
Other,656.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1545.0
Utility-Scale Photovoltaic,1420.0
Utility-Scale Thermal,126.0
All Fuels (Utility-Scale),339200.0
Coal,112624.0
Petroleum Liquids,1343.0
Petroleum Coke,874.0
Natural Gas,101786.0
Other Gases,344.0
Nuclear,72525.0
Conventional Hydroelectric,25464.0
Other Renewables,23929.0
Wind,18447.0
All Utility-Scale Solar,1458.0
Utility-Scale Photovoltaic,1372.0
Utility-Scale Thermal,86.0
Geothermal,1332.0
Biomass,2692.0
Hydro-Electric Pumped Storage,-312.0
Other,622.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,1458.0
Utility-Scale Photovoltaic,1372.0
Utility-Scale Thermal,86.0
All Fuels (Utility-Scale),301122.0
Coal,91909.0
Petroleum Liquids,1246.0
Petroleum Coke,833.0
Natural Gas,90849.0
Other Gases,299.0
Nuclear,65638.0
Conventional Hydroelectric,24006.0
Other Renewables,26170.0
Wind,20118.0
All Utility-Scale Solar,2201.0
Utility-Scale Photovoltaic,1959.0
Utility-Scale Thermal,241.0
Geothermal,1243.0
Biomass,2607.0
Hydro-Electric Pumped Storage,-399.0
Other,570.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,2201.0
Utility-Scale Photovoltaic,1959.0
Utility-Scale Thermal,241.0
All Fuels (Utility-Scale),291262.0
Coal,71346.0
Petroleum Liquids,833.0
Petroleum Coke,862.0
Natural Gas,95849.0
Other Gases,360.0
Nuclear,66149.0
Conventional Hydroelectric,27226.0
Other Renewables,28431.0
Wind,21920.0
All Utility-Scale Solar,2571.0
Utility-Scale Photovoltaic,2313.0
Utility-Scale Thermal,257.0
Geothermal,1315.0
Biomass,2625.0
Hydro-Electric Pumped Storage,-384.0
Other,590.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,2571.0
Utility-Scale Photovoltaic,2313.0
Utility-Scale Thermal,257.0
All Fuels (Utility-Scale),280548.0
Coal,71419.0
Petroleum Liquids,790.0
Petroleum Coke,956.0
Natural Gas,91257.0
Other Gases,317.0
Nuclear,62732.0
Conventional Hydroelectric,25735.0
Other Renewables,27205.0
Wind,20781.0
All Utility-Scale Solar,2831.0
Utility-Scale Photovoltaic,2558.0
Utility-Scale Thermal,273.0
Geothermal,1209.0
Biomass,2384.0
Hydro-Electric Pumped Storage,-452.0
Other,588.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,2831.0
Utility-Scale Photovoltaic,2558.0
Utility-Scale Thermal,273.0
All Fuels (Utility-Scale),303879.0
Coal,80935.0
Petroleum Liquids,928.0
Petroleum Coke,886.0
Natural Gas,102482.0
Other Gases,313.0
Nuclear,66576.0
Conventional Hydroelectric,25355.0
Other Renewables,26081.0
Wind,18832.0
All Utility-Scale Solar,3375.0
Utility-Scale Photovoltaic,2987.0
Utility-Scale Thermal,388.0
Geothermal,1342.0
Biomass,2532.0
Hydro-Electric Pumped Storage,-321.0
Other,643.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,3375.0
Utility-Scale Photovoltaic,2987.0
Utility-Scale Thermal,388.0
All Fuels (Utility-Scale),354445.0
Coal,115197.0
Petroleum Liquids,924.0
Petroleum Coke,923.0
Natural Gas,123043.0
Other Gases,351.0
Nuclear,67175.0
Conventional Hydroelectric,23125.0
Other Renewables,23569.0
Wind,16290.0
All Utility-Scale Solar,3418.0
Utility-Scale Photovoltaic,3006.0
Utility-Scale Thermal,412.0
Geothermal,1251.0
Biomass,2610.0
Hydro-Electric Pumped Storage,-497.0
Other,635.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,3418.0
Utility-Scale Photovoltaic,3006.0
Utility-Scale Thermal,412.0
All Fuels (Utility-Scale),397635.0
Coal,135420.0
Petroleum Liquids,1217.0
Petroleum Coke,969.0
Natural Gas,142558.0
Other Gases,346.0
Nuclear,70349.0
Conventional Hydroelectric,21337.0
Other Renewables,25579.0
Wind,17605.0
All Utility-Scale Solar,3886.0
Utility-Scale Photovoltaic,3415.0
Utility-Scale Thermal,471.0
Geothermal,1311.0
Biomass,2777.0
Hydro-Electric Pumped Storage,-784.0
Other,644.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,3886.0
Utility-Scale Photovoltaic,3415.0
Utility-Scale Thermal,471.0
All Fuels (Utility-Scale),395328.0
Coal,134762.0
Petroleum Liquids,1214.0
Petroleum Coke,997.0
Natural Gas,145610.0
Other Gases,332.0
Nuclear,71526.0
Conventional Hydroelectric,19458.0
Other Renewables,21681.0
Wind,13579.0
All Utility-Scale Solar,3908.0
Utility-Scale Photovoltaic,3541.0
Utility-Scale Thermal,368.0
Geothermal,1324.0
Biomass,2870.0
Hydro-Electric Pumped Storage,-902.0
Other,650.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,3908.0
Utility-Scale Photovoltaic,3541.0
Utility-Scale Thermal,368.0
All Fuels (Utility-Scale),338260.0
Coal,113347.0
Petroleum Liquids,902.0
Petroleum Coke,920.0
Natural Gas,117197.0
Other Gases,346.0
Nuclear,65448.0
Conventional Hydroelectric,16279.0
Other Renewables,23944.0
Wind,16391.0
All Utility-Scale Solar,3584.0
Utility-Scale Photovoltaic,3221.0
Utility-Scale Thermal,363.0
Geothermal,1327.0
Biomass,2642.0
Hydro-Electric Pumped Storage,-715.0
Other,592.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,3584.0
Utility-Scale Photovoltaic,3221.0
Utility-Scale Thermal,363.0
All Fuels (Utility-Scale),300073.0
Coal,98474.0
Petroleum Liquids,890.0
Petroleum Coke,559.0
Natural Gas,94754.0
Other Gases,234.0
Nuclear,60733.0
Conventional Hydroelectric,17229.0
Other Renewables,27175.0
Wind,20318.0
All Utility-Scale Solar,3147.0
Utility-Scale Photovoltaic,2898.0
Utility-Scale Thermal,249.0
Geothermal,1353.0
Biomass,2357.0
Hydro-Electric Pumped Storage,-561.0
Other,584.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,3147.0
Utility-Scale Photovoltaic,2898.0
Utility-Scale Thermal,249.0
All Fuels (Utility-Scale),284282.0
Coal,86275.0
Petroleum Liquids,1025.0
Petroleum Coke,712.0
Natural Gas,85907.0
Other Gases,351.0
Nuclear,65179.0
Conventional Hydroelectric,18721.0
Other Renewables,26124.0
Wind,19388.0
All Utility-Scale Solar,2729.0
Utility-Scale Photovoltaic,2545.0
Utility-Scale Thermal,184.0
Geothermal,1364.0
Biomass,2643.0
Hydro-Electric Pumped Storage,-607.0
Other,595.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,2729.0
Utility-Scale Photovoltaic,2545.0
Utility-Scale Thermal,184.0
All Fuels (Utility-Scale),332044.0
Coal,117955.0
Petroleum Liquids,1118.0
Petroleum Coke,791.0
Natural Gas,88088.0
Other Gases,318.0
Nuclear,71662.0
Conventional Hydroelectric,22390.0
Other Renewables,29827.0
Wind,23122.0
All Utility-Scale Solar,2389.0
Utility-Scale Photovoltaic,2298.0
Utility-Scale Thermal,91.0
Geothermal,1454.0
Biomass,2862.0
Hydro-Electric Pumped Storage,-753.0
Other,649.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,2389.0
Utility-Scale Photovoltaic,2298.0
Utility-Scale Thermal,91.0
All Fuels (Utility-Scale),330859.0
Coal,114572.0
Petroleum Liquids,1047.0
Petroleum Coke,882.0
Natural Gas,86947.0
Other Gases,350.0
Nuclear,73121.0
Conventional Hydroelectric,26479.0
Other Renewables,27271.0
Wind,20780.0
All Utility-Scale Solar,2298.0
Utility-Scale Photovoltaic,2208.0
Utility-Scale Thermal,90.0
Geothermal,1407.0
Biomass,2785.0
Hydro-Electric Pumped Storage,-435.0
Other,626.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,2298.0
Utility-Scale Photovoltaic,2208.0
Utility-Scale Thermal,90.0
All Fuels (Utility-Scale),278904.0
Coal,86158.0
Petroleum Liquids,825.0
Petroleum Coke,662.0
Natural Gas,75088.0
Other Gases,309.0
Nuclear,63560.0
Conventional Hydroelectric,23746.0
Other Renewables,28513.0
Wind,22072.0
All Utility-Scale Solar,2717.0
Utility-Scale Photovoltaic,2581.0
Utility-Scale Thermal,136.0
Geothermal,1239.0
Biomass,2485.0
Hydro-Electric Pumped Storage,-508.0
Other,551.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,2717.0
Utility-Scale Photovoltaic,2581.0
Utility-Scale Thermal,136.0
All Fuels (Utility-Scale),306382.0
Coal,88688.0
Petroleum Liquids,909.0
Petroleum Coke,616.0
Natural Gas,86902.0
Other Gases,358.0
Nuclear,65093.0
Conventional Hydroelectric,29460.0
Other Renewables,34311.0
Wind,25705.0
All Utility-Scale Solar,4464.0
Utility-Scale Photovoltaic,4168.0
Utility-Scale Thermal,297.0
Geothermal,1387.0
Biomass,2754.0
Hydro-Electric Pumped Storage,-521.0
Other,564.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,4464.0
Utility-Scale Photovoltaic,4168.0
Utility-Scale Thermal,297.0
All Fuels (Utility-Scale),282899.0
Coal,80743.0
Petroleum Liquids,819.0
Petroleum Coke,373.0
Natural Gas,80597.0
Other Gases,300.0
Nuclear,56743.0
Conventional Hydroelectric,29235.0
Other Renewables,33975.0
Wind,25355.0
All Utility-Scale Solar,4853.0
Utility-Scale Photovoltaic,4543.0
Utility-Scale Thermal,310.0
Geothermal,1341.0
Biomass,2426.0
Hydro-Electric Pumped Storage,-439.0
Other,552.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,4853.0
Utility-Scale Photovoltaic,4543.0
Utility-Scale Thermal,310.0
All Fuels (Utility-Scale),310703.0
Coal,92141.0
Petroleum Liquids,929.0
Petroleum Coke,790.0
Natural Gas,89993.0
Other Gases,351.0
Nuclear,61313.0
Conventional Hydroelectric,32421.0
Other Renewables,32597.0
Wind,23047.0
All Utility-Scale Solar,5725.0
Utility-Scale Photovoltaic,5323.0
Utility-Scale Thermal,402.0
Geothermal,1302.0
Biomass,2524.0
Hydro-Electric Pumped Storage,-423.0
Other,590.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,5725.0
Utility-Scale Photovoltaic,5323.0
Utility-Scale Thermal,402.0
All Fuels (Utility-Scale),345241.0
Coal,106825.0
Petroleum Liquids,953.0
Petroleum Coke,830.0
Natural Gas,108779.0
Other Gases,324.0
Nuclear,67011.0
