United States Power Source,Energy Production (Thousand Megawatthours)
Nuclear,62655.0
Conventional Hydroelectric,19426.0
Other Renewables,13421.0
Wind,9746.0
All Utility-Scale Solar,76.0
Utility-Scale Photovoltaic,43.0
Utility-Scale Thermal,34.0
Geothermal,1252.0
Biomass,2346.0
Hydro-Electric Pumped Storage,-467.0
Other,580.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,76.0
Utility-Scale Photovoltaic,43.0
Utility-Scale Thermal,34.0
All Fuels (Utility-Scale),348549.0
Coal,165494.0
Petroleum Liquids,2292.0
Petroleum Coke,1010.0
Natural Gas,69875.0
Other Gases,208.0
Nuclear,73683.0
Conventional Hydroelectric,23024.0
Other Renewables,12892.0
Wind,9058.0
All Utility-Scale Solar,43.0
Utility-Scale Photovoltaic,31.0
Utility-Scale Thermal,12.0
Geothermal,1330.0
Biomass,2461.0
Hydro-Electric Pumped Storage,-530.0
Other,601.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,43.0
Utility-Scale Photovoltaic,31.0
Utility-Scale Thermal,12.0
All Fuels (Utility-Scale),350001.0
Coal,169390.0
Petroleum Liquids,1798.0
Petroleum Coke,1431.0
Natural Gas,66932.0
Other Gases,243.0
Nuclear,72743.0
Conventional Hydroelectric,25386.0
Other Renewables,12159.0
Wind,8547.0
All Utility-Scale Solar,37.0
Utility-Scale Photovoltaic,31.0
Utility-Scale Thermal,6.0
Geothermal,1347.0
Biomass,2228.0
Hydro-Electric Pumped Storage,-659.0
Other,577.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,37.0
Utility-Scale Photovoltaic,31.0
Utility-Scale Thermal,6.0
All Fuels (Utility-Scale),301632.0
Coal,137082.0
Petroleum Liquids,1139.0
Petroleum Coke,1116.0
Natural Gas,59380.0
Other Gases,207.0
Nuclear,64789.0
Conventional Hydroelectric,23970.0
Other Renewables,13809.0
Wind,10448.0
All Utility-Scale Solar,81.0
Utility-Scale Photovoltaic,42.0
Utility-Scale Thermal,39.0
Geothermal,1215.0
Biomass,2066.0
Hydro-Electric Pumped Storage,-413.0
Other,552.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,81.0
Utility-Scale Photovoltaic,42.0
Utility-Scale Thermal,39.0
All Fuels (Utility-Scale),306808.0
Coal,133584.0
Petroleum Liquids,1211.0
Petroleum Coke,1315.0
Natural Gas,59362.0
Other Gases,252.0
Nuclear,65662.0
Conventional Hydroelectric,30945.0
Other Renewables,14190.0
Wind,10540.0
All Utility-Scale Solar,116.0
Utility-Scale Photovoltaic,59.0
Utility-Scale Thermal,58.0
Geothermal,1337.0
Biomass,2196.0
Hydro-Electric Pumped Storage,-349.0
Other,638.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,116.0
Utility-Scale Photovoltaic,59.0
Utility-Scale Thermal,58.0
All Fuels (Utility-Scale),290519.0
Coal,123272.0
Petroleum Liquids,1399.0
Petroleum Coke,858.0
Natural Gas,63257.0
Other Gases,244.0
Nuclear,54547.0
Conventional Hydroelectric,31008.0
Other Renewables,15767.0
Wind,12417.0
All Utility-Scale Solar,155.0
Utility-Scale Photovoltaic,72.0
Utility-Scale Thermal,84.0
Geothermal,1239.0
Biomass,1956.0
Hydro-Electric Pumped Storage,-466.0
Other,634.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,155.0
Utility-Scale Photovoltaic,72.0
Utility-Scale Thermal,84.0
All Fuels (Utility-Scale),311403.0
Coal,135820.0
Petroleum Liquids,1304.0
Petroleum Coke,914.0
Natural Gas,68175.0
Other Gases,242.0
Nuclear,57013.0
Conventional Hydroelectric,32386.0
Other Renewables,15321.0
Wind,11767.0
All Utility-Scale Solar,181.0
Utility-Scale Photovoltaic,80.0
Utility-Scale Thermal,100.0
Geothermal,1318.0
Biomass,2056.0
Hydro-Electric Pumped Storage,-417.0
Other,645.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,181.0
Utility-Scale Photovoltaic,80.0
Utility-Scale Thermal,100.0
All Fuels (Utility-Scale),354929.0
Coal,156716.0
Petroleum Liquids,1323.0
Petroleum Coke,1115.0
Natural Gas,83426.0
Other Gases,259.0
Nuclear,65270.0
Conventional Hydroelectric,31999.0
Other Renewables,14706.0
Wind,10981.0
All Utility-Scale Solar,210.0
Utility-Scale Photovoltaic,85.0
Utility-Scale Thermal,125.0
Geothermal,1215.0
Biomass,2300.0
Hydro-Electric Pumped Storage,-567.0
Other,681.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,210.0
Utility-Scale Photovoltaic,85.0
Utility-Scale Thermal,125.0
All Fuels (Utility-Scale),404802.0
Coal,175129.0
Petroleum Liquids,1664.0
Petroleum Coke,1342.0
Natural Gas,111502.0
Other Gases,262.0
Nuclear,72345.0
Conventional Hydroelectric,31173.0
Other Renewables,11397.0
Wind,7486.0
All Utility-Scale Solar,181.0
Utility-Scale Photovoltaic,78.0
Utility-Scale Thermal,103.0
Geothermal,1269.0
Biomass,2461.0
Hydro-Electric Pumped Storage,-708.0
Other,695.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,181.0
Utility-Scale Photovoltaic,78.0
Utility-Scale Thermal,103.0
All Fuels (Utility-Scale),392441.0
Coal,169798.0
Petroleum Liquids,1244.0
Petroleum Coke,1206.0
Natural Gas,111540.0
Other Gases,264.0
Nuclear,71339.0
Conventional Hydroelectric,25666.0
Other Renewables,11408.0
Wind,7471.0
All Utility-Scale Solar,218.0
Utility-Scale Photovoltaic,109.0
Utility-Scale Thermal,109.0
Geothermal,1275.0
Biomass,2445.0
Hydro-Electric Pumped Storage,-692.0
Other,669.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,218.0
Utility-Scale Photovoltaic,109.0
Utility-Scale Thermal,109.0
All Fuels (Utility-Scale),325113.0
Coal,139648.0
Petroleum Liquids,1066.0
Petroleum Coke,1206.0
Natural Gas,84300.0
Other Gases,252.0
Nuclear,66849.0
Conventional Hydroelectric,21254.0
Other Renewables,10504.0
Wind,6865.0
All Utility-Scale Solar,177.0
Utility-Scale Photovoltaic,100.0
Utility-Scale Thermal,78.0
Geothermal,1226.0
Biomass,2235.0
Hydro-Electric Pumped Storage,-583.0
Other,617.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,177.0
Utility-Scale Photovoltaic,100.0
Utility-Scale Thermal,78.0
All Fuels (Utility-Scale),296676.0
Coal,125442.0
Petroleum Liquids,1050.0
Petroleum Coke,844.0
Natural Gas,71962.0
Other Gases,240.0
Nuclear,63337.0
Conventional Hydroelectric,19660.0
Other Renewables,14112.0
Wind,10519.0
All Utility-Scale Solar,151.0
Utility-Scale Photovoltaic,91.0
Utility-Scale Thermal,60.0
Geothermal,1281.0
Biomass,2162.0
Hydro-Electric Pumped Storage,-601.0
Other,629.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,151.0
Utility-Scale Photovoltaic,91.0
Utility-Scale Thermal,60.0
All Fuels (Utility-Scale),291639.0
Coal,120323.0
Petroleum Liquids,1027.0
Petroleum Coke,606.0
Natural Gas,68262.0
Other Gases,227.0
Nuclear,64474.0
Conventional Hydroelectric,20533.0
Other Renewables,16008.0
Wind,12431.0
All Utility-Scale Solar,103.0
Utility-Scale Photovoltaic,78.0
Utility-Scale Thermal,25.0
Geothermal,1271.0
Biomass,2203.0
